1,1975,233012
2,1976,227810
3,1977,226291
4,1978,224181
5,1979,223129
6,1980,225527
7,1981,235842
8,1982,239903
9,1983,242570
10,1984,234034
11,1985,247348
12,1986,243408
13,1987,243959
14,1988,246193
15,1989,250853
16,1990,262648
17,1991,257247
18,1992,264151
19,1993,260229
20,1994,258051
21,1995,256190
22,1996,253834
23,1997,251842
24,1998,249616
25,1999,248870
26,2000,249636
27,2001,246394
28,2002,250988
29,2003,251161
30,2004,254246
31,2005,264493
32,2006,270849
33,2007,292152
34,2008,302272
35,2009,301253
36,2010,303318
37,2011,301617
38,2012,309582
39,2013,308065
40,2014,299697
41,2015,305377
42,2016,311104
43,2017,309142
44,2018,315147
