1,1901,496990,501580,120650,162200,70700,36060,0,0,1388180,878465,708320,386071,201803,122901,139173,0,0,2436733
2,1906,559800,530660,132470,175640,95870,39230,0,0,1533670,961818,689172,406503,194777,159303,146242,0,0,2557815
3,1911,656800,600160,143510,199760,111400,40200,1082,0,1752912,1042576,739733,479613,219632,182523,152725,2151,0,2818953
4,1916,764600,695640,168390,223720,124110,40260,0,0,2016720,1120451,709023,508636,218118,182770,155343,0,0,2894341
5,1920,885000,763000,205980,255000,152000,50000,0,0,2310980,1206722,764909,544644,236006,179323,162752,0,0,3094356
6,1921,912750,800520,217710,259590,155590,53870,1399,1150,2402579,1218940,750207,548014,242152,180958,164806,2360,1433,3108870
7,1922,934540,831060,230200,267570,161770,54420,0,1500,2481060,1246977,759213,552179,244032,183774,165348,0,1438,3152961
8,1923,952620,861760,235690,274520,173770,54980,0,2000,2555340,1270259,763695,566154,247692,183089,165431,0,1506,3197826
9,1924,974540,889720,245020,283540,180790,55540,0,2600,2631750,1298483,767431,577064,251406,187534,164132,0,1520,3247570
10,1925,996100,917080,253220,294710,183500,56100,0,3500,2704210,1326240,766971,591622,252338,194027,163264,0,1558,3296020
11,1926,1019860,945500,258620,305510,188260,56680,0,4900,2779330,1356818,766487,603866,255415,196973,160895,0,1650,3342104
12,1927,1044770,971000,264030,314330,195080,57250,0,6150,2852610,1388885,770832,612355,255300,204817,161901,0,1535,3395625
13,1928,1066400,990650,275780,316390,200520,57840,0,6640,2914220,1416729,771096,615097,256197,214101,162479,0,1513,3437212
14,1929,1176900,1006000,284760,310920,206310,58430,0,6880,3050200,1342793,772269,617376,262053,220327,164848,0,1614,3381280
15,1930,1190590,999650,279950,310530,211640,59020,0,7290,3058670,1355763,792955,636786,263937,219970,166277,0,1723,3437411
16,1931,1200830,995600,283440,310460,215800,59620,0,7050,3072800,1365484,807970,646286,266619,217886,168844,0,1593,3474682
17,1932,1213880,993800,298140,311840,214880,60230,0,7030,3099800,1377851,819587,640957,267453,221440,170377,0,1551,3499216
18,1933,1237130,995800,301250,313000,209000,62150,1566,7325,3127221,1376474,828417,647894,269746,231642,170025,3261,1622,3529081
19,1934,1241900,1000000,304930,314000,211000,62610,0,7500,3141940,1394563,836660,654914,270489,232729,169028,0,1970,3560353
20,1935,1245590,1008300,306150,315000,214000,63620,0,7700,3160360,1412482,833295,665147,271762,235623,169803,0,1939,3590051
21,1936,1251150,1016500,313430,317000,217000,64830,0,8030,3187940,1431170,833107,669548,272770,237200,170943,0,2278,3617016
22,1937,1256500,1024300,318430,318000,220000,66490,0,8410,3212130,1455043,832691,676150,273797,240542,173080,0,2571,3653874
23,1938,1263220,1035600,325890,321500,223000,67700,0,9827,3246737,1473971,835499,679633,274342,243684,174419,0,1735,3683283
24,1939,1274930,1050700,330000,323000,227000,68580,0,10800,3285010,1491485,832433,690095,276313,245380,174676,0,1767,3712149
25,1940,1294080,1083000,335520,330000,230000,69370,0,12000,3353970,1496868,831918,695932,269056,244076,174632,0,1753,3714235
26,1941,1331290,1114900,344230,350000,234000,69390,0,13300,3457110,1481766,831525,694241,256366,239213,172745,0,1722,3677578
27,1942,1363010,1143900,353590,355000,239000,69930,0,12650,3537080,1485130,818658,684335,255978,237655,172507,0,1739,3656002
28,1943,1402790,1156600,370460,360000,245000,70970,0,11650,3617470,1467921,825016,684124,256027,233264,173283,0,1737,3641372
29,1944,1433000,1168900,384040,365000,253000,72230,0,12450,3688620,1468039,829054,684215,258030,231775,174659,0,1755,3647527
30,1945,1456350,1180200,393580,372000,260000,73790,0,13250,3749170,1476648,834907,691284,258882,230088,176490,0,1762,3670061
31,1946,1475150,1189800,399530,380000,268000,75510,0,14100,3802090,1487242,849969,697301,260418,228973,179060,0,1767,3704730
32,1947,1489620,1228300,404640,388000,276000,76534,2538,15156,3880788,1513014,834409,708178,266632,232762,180544,8354,1749,3745642
33,1948,1503740,1247800,414500,399000,283000,78310,0,18040,3944390,1544566,860325,724044,271615,238999,182896,0,1751,3824196
34,1949,1530060,1272300,429530,415500,296000,80580,0,19640,4043610,1619746,896584,740789,280118,248184,186482,0,1746,3973649
35,1950,1557220,1302200,444650,433500,313000,83680,0,22080,4156330,1683837,934982,760768,289343,259649,192222,0,1744,4122545
36,1951,1574880,1330800,453660,447500,322000,87190,0,23140,4239170,1739792,968738,784618,296285,268339,199003,0,1752,4258527
37,1952,1579790,1359100,469000,464000,335000,90650,0,24530,4322070,1788196,1007619,802256,304570,277935,205649,0,1830,4388055
38,1953,1576480,1388800,488000,476000,345000,93280,0,26710,4394270,1832529,1027235,810420,309665,286743,210800,0,1935,4479327
39,1954,1863161,1524111,502320,483508,348647,95206,8071,28277,4853301,1560368,928230,815939,313586,291124,213546,8398,2038,4133229
40,1955,1906340,1575300,515000,499100,360000,97428,8600,30710,4992478,1584409,941929,835017,320467,297115,216664,9610,2040,4207251
41,1956,1949400,1629400,527500,517900,372000,99536,8900,33100,5137736,1604857,964068,854091,330657,302529,218934,10656,2035,4287827
42,1957,1996010,1677100,543000,533600,382000,103944,0,35827,5271481,1628959,979157,870085,339566,305605,222186,0,2038,4347596
43,1958,2043200,1726100,555000,547400,391000,105611,0,39061,5407372,1648754,992382,884199,349403,308565,227455,0,2106,4412864
44,1959,2085790,1777700,567000,562300,401000,109756,0,43973,5547519,1674044,1008205,901237,358598,311070,229620,0,2097,4484871
45,1960,2132680,1831100,578000,576600,409000,111851,0,50237,5689468,1699773,1026289,917927,368720,313080,232059,0,2131,4559979
46,1961,2303807,1984936,692924,659316,475576,130236,15477,56449,6318721,1614694,945430,834590,312171,271174,220104,29004,2379,4229546
47,1962,2353280,2029240,706679,673750,491300,132790,0,63821,6450860,1633668,953818,844303,313746,274662,222878,0,2352,4245427
48,1963,2397620,2077560,721756,695700,509200,135320,0,70775,6607931,1652378,963281,856111,315041,279144,225407,0,2625,4293987
49,1964,2441570,2130980,740306,720900,525800,137310,17800,77644,6792310,1666345,974539,870392,317120,282643,227001,33663,2689,4374392
50,1965,2491320,2180800,759085,748350,540700,139400,0,85690,6945345,1684118,983569,885449,319221,284825,228505,0,2775,4388462
51,1966,2542207,2230793,778193,771561,559298,141311,21671,93314,7138348,1695694,989424,896131,323423,288802,230125,34833,2718,4461150
52,1967,2583650,2283000,793960,784450,583800,143390,23400,100938,7296588,1711589,991340,906022,325330,295379,231854,38436,2540,4502490
53,1968,2630690,2331000,810410,795000,611800,145830,26300,109550,7460580,1728635,993180,918586,326811,303242,233819,41237,2545,4548055
54,1969,2690580,2389700,829070,809650,642800,149090,29300,119235,7659425,1750608,995343,934017,329683,312046,235803,43662,2427,4603589
55,1970,2751830,2447600,847220,826850,671900,151230,32900,129000,7858530,1770500,997336,945523,331137,319454,236490,45911,2468,4648819
56,1971,3015900,2606900,957900,883900,744600,157100,39000,151169,8556469,1709603,994452,893585,316214,309234,240973,46735,0,4510796
57,1972,3053900,2651600,977800,894900,767200,158300,43200,159792,8706692,1741206,1009654,920678,319728,314817,242008,48881,0,4596972
58,1973,3079600,2686400,1000700,905500,782000,160100,46900,173306,8834506,1762298,1021253,951251,322975,319041,242987,50227,0,4670032
59,1974,3108500,2722400,1024900,915500,803700,162400,51700,186241,8975341,1785553,1033326,983440,326038,323898,243751,51224,0,4747230
60,1975,3129000,2746200,1042100,933200,826400,165200,35300,199007,9076407,1803016,1041241,1009262,332064,328548,244888,57569,0,4816588
61,1976,3143800,2764100,1058100,940100,845700,166900,47300,207740,9173740,1815788,1046326,1034275,333970,332642,245414,50928,0,4859343
62,1977,3168100,2782600,1073700,951300,866100,168300,51000,213688,9274788,1833788,1054764,1056139,334819,338266,246732,52938,0,4917446
63,1978,3197700,2800700,1090100,960700,884500,169600,54900,217981,9376181,1856090,1063059,1081947,335505,343351,248042,55080,0,4983074
64,1979,3226800,2816300,1105900,964800,899200,171000,57200,220797,9461997,1884330,1070106,1108871,336309,347411,249756,56949,0,5053732
65,1980,3257500,2835500,1126100,970900,917000,172300,59600,224291,9563191,1914027,1078803,1139835,337497,352068,251290,58645,0,5132165
66,1981,3279539,2857907,1154705,979895,941479,174120,62078,226821,9676544,1955350,1089010,1190503,338874,358577,253104,60538,0,5245956
67,1982,3319302,2887744,1190830,989474,973542,175226,67052,232304,9835474,1984278,1105126,1233756,341634,365357,254619,63262,0,5348032
68,1983,3351105,2916524,1213607,1001244,998576,176477,70807,238261,9966601,2001854,1119178,1268675,344531,370474,256328,65109,0,5426149
69,1984,3385017,2942787,1227454,1013446,1017871,178844,74959,244409,10084787,2017712,1133705,1296405,346602,373366,258916,67195,0,5493901
70,1985,3424594,2970627,1245078,1024259,1041608,181228,79114,250705,10217213,2039918,1149441,1326140,346938,376956,261600,69422,0,5570415
71,1986,3471489,2996733,1265114,1034960,1075959,182846,82814,258246,10368161,2060037,1164123,1359481,347590,383060,263627,71607,0,5649525
72,1987,3526166,3035229,1286535,1043949,1106882,183837,85014,264801,10532413,2090570,1174882,1388572,348815,389366,265389,73191,0,5730785
73,1988,3587999,3075917,1313047,1054472,1139494,184413,84009,271439,10710790,2119310,1186652,1426860,350437,395673,266735,75017,0,5820684
74,1989,3621273,3121026,1349743,1067855,1178097,185982,84588,275728,10884292,2155010,1199138,1477894,351174,400337,269276,76591,0,5929420
75,1990,3642763,3163590,1382453,1080060,1207701,189070,85694,281492,11032823,2191258,1215002,1516830,351996,405348,273118,78034,0,6031586
76,1991,3672914,3194707,1411773,1093525,1226115,191648,86414,288586,11165682,2225817,1225666,1549178,352774,409952,275154,79079,0,6117620
77,1992,3708310,3217776,1435614,1100976,1247523,193505,87834,294230,11285768,2249512,1232441,1587584,354466,411021,276474,80712,0,6192210
78,1993,3728426,3231603,1464508,1103868,1266704,194906,89570,299114,11378699,2266629,1231163,1631677,354764,412018,277081,82138,0,6255470
79,1994,3758844,3243516,1494739,1108322,1289836,195899,91424,302194,11484774,2285975,1229473,1671827,354767,414813,277600,83484,0,6317939
80,1995,3802786,3268881,1527888,1111739,1316658,196758,94429,305838,11624977,2302774,1228779,1709492,353601,419408,277757,85173,0,6376984
81,1996,3856646,3304912,1560296,1116237,1343355,197124,97247,309629,11785446,2319815,1230072,1742896,352842,424851,278481,87269,0,6436226
82,1997,3905123,3336088,1584086,1122518,1366707,196892,100518,310533,11922465,2341144,1233209,1771331,353140,431634,278016,89237,0,6497711
83,1998,3945098,3368966,1607386,1129489,1388787,196533,102395,311532,12050186,2360701,1238004,1797098,353781,437653,276897,90510,0,6554644
84,1999,3991974,3407286,1632209,1136427,1411070,196618,104345,314171,12194100,2383129,1245176,1821727,354507,442866,276412,91667,0,6615484
85,2000,4041730,3450077,1660663,1142726,1432115,196966,106412,317235,12347924,2404828,1253988,1848795,354777,446978,276157,92737,0,6678260
86,2001,4102580,3500249,1693556,1148006,1455361,197403,108280,321538,12526973,2427769,1263366,1877913,355455,450913,276265,93463,0,6745144
87,2002,4135637,3545579,1735730,1154981,1474536,197726,108679,324627,12677495,2445170,1272195,1917393,356586,453976,276426,93572,0,6815318
88,2003,4162593,3594031,1780650,1162250,1496016,199788,108433,327357,12831118,2458122,1279778,1962471,358149,456725,278746,93292,0,6887283
89,2004,4184763,3641951,1823496,1168541,1520232,201771,109211,328940,12978905,2465972,1285198,2006474,359648,459310,281407,93452,0,6951461
90,2005,4217563,3697372,1866210,1177345,1544977,203288,1113880,331399,13149542,2475643,1291874,2052284,361459,466230,282914,94517,0,7024921
91,2006,4256161,3760760,1908265,1189243,1576912,204753,113461,335170,13344725,2486529,1300506,2099727,363286,473669,284549,95596,0,7103862
92,2007,4325525,3841760,1958907,1204210,1628467,206649,116935,342644,13625097,2508631,1311762,2152111,366409,477672,286613,96813,0,7200011
93,2008,4409562,3931438,2012204,1219523,1682860,209166,121210,348368,13934331,2533899,1324937,2207301,369142,488840,289402,98664,0,7312185
94,2009,4492380,4031787,2068479,1237354,1739342,212085,125315,354785,14261527,2561375,1340147,2260292,371548,500908,292268,100712,0,7427250
95,2010,4555516,4105857,2108348,1253097,1781132,214669,127829,361766,14508214,2588776,1355244,2296396,374225,509713,294178,101949,0,7520481
96,2011,4608949,4169366,2147436,1264091,1833567,216273,129106,367985,14736773,2609580,1368451,2329342,375523,519842,295210,102186,0,7600134
97,2012,4677196,4265843,2196288,1277850,1892862,217670,133105,376539,15037353,2627048,1385248,2372399,378875,532645,294054,102810,0,7693079
98,2013,4757364,4370067,2241944,1289696,1943855,219315,138471,383257,15343969,2646668,1402602,2410880,381792,543089,292916,103251,0,7781198
99,2014,4841349,4476030,2281740,1302079,1973923,221365,141169,388799,15626454,2667004,1418887,2437913,384866,543685,292256,101725,0,7846336
100,2015,4930189,4586012,2318653,1313419,1998937,223502,144914,395813,15911439,2685979,1436310,2459039,387249,541735,291615,99778,0,7901705
